customer_id,first_name,last_name,email,city,zip_code,signup_date,signup_source,has_used_free_trial
C0033,Rachel,Rodriguez,customer33@example.com,Addison,75001,2025-12-22,Friend Referral,1
C0034,Wei,Garcia,customer34@example.com,McKinney,75070,2026-04-14,Instagram,1
C0035,Daniel,Martinez,customer35@example.com,Dallas,75205,2026-02-26,Friend Referral,1
C0036,Carlos,Jones,customer36@example.com,Frisco,75033,2026-03-14,Friend Referral,1
C0037,Priya,Kim,customer37@example.com,Fort Worth,76102,2026-03-19,Instagram,1
C0038,Amanda,Smith,customer38@example.com,McKinney,75070,2026-04-03,TikTok,1
C0039,Madison,Jackson,customer39@example.com,Plano,75024,2025-11-05,Pop-up Event,1
C0040,Daniel,Martin,customer40@example.com,Irving,75063,2026-03-28,Pop-up Event,1
C0041,Megan,Kim,customer41@example.com,Fort Worth,76109,2025-07-12,Pop-up Event,1
C0042,Amanda,Wang,customer42@example.com,Dallas,75201,2026-04-14,Instagram,1
C0043,Hannah,Miller,customer43@example.com,Frisco,75033,2025-07-02,Pop-up Event,1
C0044,Hannah,Wilson,customer44@example.com,Irving,75038,2025-12-27,Friend Referral,1
C0045,Eric,Hernandez,customer45@example.com,Plano,75093,2026-04-12,Friend Referral,0
C0046,Connor,Smith,customer46@example.com,Allen,75013,2026-02-23,Friend Referral,1
C0047,Nicole,Chen,customer47@example.com,Carrollton,75007,2026-02-12,TikTok,0
C0048,Daniel,Patel,customer48@example.com,Dallas,75201,2026-03-13,Friend Referral,1
C0049,Tyler,Brown,customer49@example.com,Irving,75038,2026-03-05,Instagram,1
C0050,Sophia,Garcia,customer50@example.com,Richardson,75080,2025-12-30,Instagram,1
C0051,Wei,Jones,customer51@example.com,Dallas,75214,2025-03-01,Instagram,1
C0052,Ashley,Rodriguez,customer52@example.com,Allen,75013,2026-01-03,TikTok,1
C0053,Ethan,Hernandez,customer53@example.com,Arlington,76016,2025-10-16,Vet Referral,1
C0054,Connor,Nguyen,customer54@example.com,Richardson,75082,2025-09-12,Friend Referral,1
C0055,Madison,Wilson,customer55@example.com,Frisco,75034,2025-11-05,Friend Referral,1
C0056,Rohit,Patel,customer56@example.com,Irving,75038,2025-06-14,Friend Referral,1
C0057,Connor,Tran,customer57@example.com,Arlington,76012,2026-04-27,Google Search,1
C0058,Tyler,Thomas,customer58@example.com,Plano,75024,2026-05-01,Friend Referral,1
C0059,Andrew,Johnson,customer59@example.com,Dallas,75214,2025-10-30,Instagram,1
C0060,Ethan,Thomas,customer60@example.com,Coppell,75019,2026-02-05,TikTok,1
C0061,Rachel,Smith,customer61@example.com,Coppell,75019,2026-02-18,Instagram,0
C0062,David,Thomas,customer62@example.com,Dallas,75214,2025-04-22,Instagram,1
C0063,Emma,Thompson,customer63@example.com,Dallas,75214,2025-07-03,Google Search,1
C0064,Hannah,Taylor,customer64@example.com,Dallas,75214,2026-03-16,Instagram,1
C0065,Wei,Anderson,customer65@example.com,Richardson,75082,2025-03-15,Google Search,1
C0066,Ashley,Park,customer66@example.com,Allen,75013,2026-02-16,Vet Referral,1
C0067,Yuki,Khan,customer67@example.com,Richardson,75080,2025-04-07,Vet Referral,1
C0068,Olivia,Miller,customer68@example.com,Frisco,75034,2026-04-19,Instagram,1
C0069,Brittany,Nguyen,customer69@example.com,Fort Worth,76109,2025-11-18,Instagram,1
C0070,Diego,Brown,customer70@example.com,Fort Worth,76109,2025-10-20,Instagram,1
C0071,David,Shah,customer71@example.com,Plano,75024,2025-12-12,Google Search,1
C0072,Olivia,Taylor,customer72@example.com,Irving,75063,2026-03-20,Vet Referral,1
C0073,Lauren,Tran,customer73@example.com,Frisco,75034,2026-02-23,Vet Referral,1
C0074,Carlos,Lopez,customer74@example.com,Plano,75093,2025-05-29,Google Search,1
C0075,Diego,Taylor,customer75@example.com,Richardson,75082,2026-04-17,Friend Referral,1
C0076,Maria,Miller,customer76@example.com,Dallas,75214,2026-03-15,TikTok,1
C0077,Madison,Smith,customer77@example.com,Dallas,75205,2025-03-30,Google Search,1
C0078,Tyler,Hernandez,customer78@example.com,Dallas,75214,2025-12-30,Google Search,1
C0079,Wei,Park,customer79@example.com,Fort Worth,76109,2026-03-26,Vet Referral,1
C0080,Rohit,Brown,customer80@example.com,Frisco,75034,2026-04-30,Google Search,1
C0081,Priya,Smith,customer81@example.com,Frisco,75033,2024-12-13,TikTok,1
C0082,Amanda,Kim,customer82@example.com,Fort Worth,76102,2026-02-10,Instagram,0
C0083,Carlos,Chen,customer83@example.com,Irving,75038,2026-01-24,TikTok,0
C0084,Lauren,Martin,customer84@example.com,Plano,75093,2025-05-24,Instagram,1
C0085,David,Brown,customer85@example.com,Frisco,75034,2025-05-27,Friend Referral,1
C0086,David,Brown,customer86@example.com,Irving,75063,2025-12-09,TikTok,1
C0087,Yuki,Wang,customer87@example.com,Coppell,75019,2025-12-04,Instagram,1
C0088,Megan,Brown,customer88@example.com,McKinney,75070,2024-11-10,Instagram,1
C0089,James,Lopez,customer89@example.com,McKinney,75070,2025-04-22,Vet Referral,1
C0090,Ava,Jones,customer90@example.com,Dallas,75214,2025-09-28,Friend Referral,1
C0091,Rohit,Davis,customer91@example.com,Richardson,75080,2025-07-10,Vet Referral,1
C0092,Tyler,Williams,customer92@example.com,Coppell,75019,2025-02-18,Friend Referral,1
C0093,James,Khan,customer93@example.com,Carrollton,75007,2025-07-20,Google Search,1
C0094,Sophia,Perez,customer94@example.com,Coppell,75019,2025-07-23,Pop-up Event,1
C0095,Brandon,Perez,customer95@example.com,Richardson,75082,2026-02-09,Instagram,1
C0096,Amanda,Shah,customer96@example.com,Richardson,75080,2026-04-28,Friend Referral,1
C0097,Justin,Kim,customer97@example.com,Plano,75093,2026-03-05,Google Search,1
C0098,Jessica,Smith,customer98@example.com,Irving,75063,2026-04-28,Pop-up Event,1
C0099,Noah,Miller,customer99@example.com,Arlington,76012,2026-04-10,Friend Referral,1
C0100,Madison,Anderson,customer100@example.com,Dallas,75214,2026-03-22,Google Search,1
C0101,Amanda,Rodriguez,customer101@example.com,McKinney,75070,2026-04-25,Friend Referral,1
C0102,Jessica,Taylor,customer102@example.com,Addison,75001,2025-11-03,Vet Referral,0
C0103,Stephanie,Hernandez,customer103@example.com,Addison,75001,2025-12-25,Friend Referral,1
C0104,Madison,Lee,customer104@example.com,Arlington,76012,2026-03-09,Friend Referral,1
C0105,Connor,Smith,customer105@example.com,Carrollton,75007,2026-04-30,TikTok,1
C0106,Justin,Miller,customer106@example.com,Allen,75013,2025-10-02,Friend Referral,1
C0107,Amanda,Davis,customer107@example.com,Plano,75093,2026-04-04,Instagram,1
C0108,Ethan,Martinez,customer108@example.com,Plano,75024,2025-09-21,Google Search,1
C0109,Stephanie,Anderson,customer109@example.com,Richardson,75082,2024-11-10,Vet Referral,1
C0110,Brandon,Moore,customer110@example.com,Irving,75063,2025-11-15,Friend Referral,1
C0111,Wei,Moore,customer111@example.com,McKinney,75070,2026-02-14,Vet Referral,1
C0112,James,Nguyen,customer112@example.com,Dallas,75205,2026-04-12,Instagram,1
C0113,Emma,Smith,customer113@example.com,Richardson,75082,2025-05-21,Vet Referral,1
C0114,Ashley,Moore,customer114@example.com,Irving,75063,2026-04-16,Friend Referral,1
C0115,Maria,Nguyen,customer115@example.com,Frisco,75033,2026-03-31,Friend Referral,1
C0116,Sarah,Davis,customer116@example.com,Allen,75013,2025-11-13,Google Search,1
C0117,Chris,Williams,customer117@example.com,Dallas,75214,2026-02-09,Google Search,1
C0118,Logan,Martinez,customer118@example.com,Addison,75001,2025-05-20,Google Search,1
C0119,Ashley,Williams,customer119@example.com,Fort Worth,76109,2026-04-21,Google Search,1
C0120,Eric,Williams,customer120@example.com,Irving,75038,2025-11-27,TikTok,1
C0121,Brandon,Taylor,customer121@example.com,Addison,75001,2026-02-05,Google Search,1
C0122,Brittany,Khan,customer122@example.com,Plano,75024,2025-12-14,TikTok,1
C0123,Chris,Taylor,customer123@example.com,Carrollton,75007,2024-11-10,Pop-up Event,1
C0124,Ryan,Khan,customer124@example.com,Frisco,75033,2026-04-22,Instagram,1
C0125,Ryan,Thompson,customer125@example.com,Dallas,75201,2026-04-17,Google Search,1
C0126,Tyler,Jackson,customer126@example.com,Fort Worth,76109,2026-02-24,Pop-up Event,1
C0127,Olivia,Kumar,customer127@example.com,Frisco,75033,2025-07-05,Instagram,1
C0128,Yuki,Thomas,customer128@example.com,Dallas,75205,2025-10-02,Google Search,1
C0129,Diego,White,customer129@example.com,Frisco,75034,2025-09-07,Vet Referral,1
C0130,Rachel,Thomas,customer130@example.com,Irving,75038,2026-03-30,Vet Referral,1
C0131,Lauren,Shah,customer131@example.com,Dallas,75201,2024-11-10,Friend Referral,1
C0132,Jason,Jones,customer132@example.com,Irving,75063,2025-08-08,Friend Referral,0
C0133,Brittany,Wang,customer133@example.com,Richardson,75082,2025-05-18,Friend Referral,1
C0134,Madison,Thompson,customer134@example.com,Fort Worth,76102,2025-08-25,Instagram,1
C0135,Daniel,Moore,customer135@example.com,Dallas,75201,2025-12-29,Pop-up Event,1
C0136,Logan,Moore,customer136@example.com,Frisco,75033,2025-03-24,Friend Referral,1
C0137,Olivia,Nguyen,customer137@example.com,Dallas,75205,2025-03-06,Instagram,1
C0138,Nicole,Nguyen,customer138@example.com,Addison,75001,2024-11-11,TikTok,1
C0139,Hannah,Davis,customer139@example.com,Carrollton,75007,2025-11-06,Friend Referral,1
C0140,Sophia,Wilson,customer140@example.com,Fort Worth,76102,2026-02-22,Google Search,1
C0141,Emma,Nguyen,customer141@example.com,Richardson,75082,2025-07-26,Vet Referral,1
C0142,Connor,Wilson,customer142@example.com,Dallas,75201,2026-01-02,Instagram,1
C0143,Carlos,Jones,customer143@example.com,Addison,75001,2026-01-20,Pop-up Event,1
C0144,Noah,Perez,customer144@example.com,Irving,75063,2026-04-12,Instagram,1
C0145,Justin,Wang,customer145@example.com,Plano,75024,2025-11-12,Instagram,1
C0146,Aisha,Perez,customer146@example.com,Irving,75038,2025-09-29,Instagram,1
C0147,Stephanie,Rodriguez,customer147@example.com,Fort Worth,76102,2025-09-26,Instagram,1
C0148,Aisha,Kumar,customer148@example.com,Frisco,75034,2024-11-10,Friend Referral,1
C0149,Noah,Lee,customer149@example.com,Frisco,75033,2025-07-07,TikTok,0
C0150,Ethan,Smith,customer150@example.com,Fort Worth,76102,2025-08-26,Friend Referral,1
C0151,Stephanie,Anderson,customer151@example.com,Irving,75038,2025-08-07,Google Search,1
C0152,Logan,Perez,customer152@example.com,Fort Worth,76109,2025-03-04,Instagram,1
C0153,Maria,Tran,customer153@example.com,Arlington,76012,2026-05-02,Friend Referral,1
C0154,Hannah,Park,customer154@example.com,Frisco,75034,2026-04-12,Instagram,1
C0155,James,Martin,customer155@example.com,Frisco,75033,2025-08-31,Google Search,0
C0156,Noah,Thompson,customer156@example.com,McKinney,75070,2026-02-09,Instagram,1
C0157,Tyler,Lee,customer157@example.com,Dallas,75214,2026-03-20,TikTok,1
C0158,Lauren,Martinez,customer158@example.com,Richardson,75080,2024-11-10,Instagram,1
C0159,Emma,Taylor,customer159@example.com,Dallas,75201,2025-12-20,TikTok,1
C0160,Noah,Jones,customer160@example.com,Arlington,76016,2025-12-10,TikTok,1
C0161,Aisha,Wilson,customer161@example.com,Arlington,76012,2025-11-07,Google Search,1
C0162,Wei,Shah,customer162@example.com,Fort Worth,76102,2025-11-08,Google Search,1
C0163,Chris,Smith,customer163@example.com,Richardson,75080,2026-04-26,Instagram,0
C0164,Carlos,Thomas,customer164@example.com,Plano,75024,2025-04-02,Friend Referral,1
C0165,Connor,Kim,customer165@example.com,Frisco,75033,2026-03-07,Instagram,1
C0166,Ethan,Taylor,customer166@example.com,Dallas,75205,2026-02-15,Google Search,1
C0167,Diego,Rodriguez,customer167@example.com,Plano,75024,2024-11-10,TikTok,1
C0168,Connor,Perez,customer168@example.com,Arlington,76012,2025-12-17,Friend Referral,1
C0169,Noah,Wang,customer169@example.com,Arlington,76012,2025-10-09,Instagram,1
C0170,Ethan,Tran,customer170@example.com,Fort Worth,76109,2025-06-27,TikTok,1
C0171,Yuki,Tran,customer171@example.com,Frisco,75033,2025-11-14,Friend Referral,0
C0172,Tyler,Jackson,customer172@example.com,Richardson,75082,2025-05-08,Instagram,1
C0173,Wei,Taylor,customer173@example.com,McKinney,75070,2026-02-08,Vet Referral,0
C0174,Maria,Jones,customer174@example.com,Richardson,75082,2026-04-05,Google Search,1
C0175,Tyler,Jackson,customer175@example.com,Irving,75038,2024-11-10,Pop-up Event,1
C0176,Nicole,Garcia,customer176@example.com,Irving,75063,2026-01-11,Friend Referral,1
C0177,Chris,Thomas,customer177@example.com,Plano,75093,2026-04-24,Pop-up Event,1
C0178,Chris,Anderson,customer178@example.com,Fort Worth,76102,2024-11-10,TikTok,1
C0179,Aisha,Khan,customer179@example.com,Dallas,75214,2025-08-14,TikTok,1
C0180,Madison,Kim,customer180@example.com,Irving,75063,2026-03-14,Friend Referral,1
C0181,David,Anderson,customer181@example.com,Fort Worth,76109,2024-11-10,Google Search,1
C0182,Priya,Johnson,customer182@example.com,Fort Worth,76109,2025-10-16,Google Search,1
C0183,Priya,Park,customer183@example.com,Coppell,75019,2026-04-13,Google Search,1
C0184,Brittany,Lee,customer184@example.com,Dallas,75201,2025-08-11,Friend Referral,1
C0185,Aisha,Thomas,customer185@example.com,Fort Worth,76102,2025-12-11,Google Search,1
C0186,Rachel,Jackson,customer186@example.com,Arlington,76016,2026-02-01,Instagram,1
C0187,Wei,Johnson,customer187@example.com,Fort Worth,76109,2025-08-24,Google Search,1
C0188,Andrew,Shah,customer188@example.com,Fort Worth,76102,2026-03-22,Instagram,1
C0189,Diego,Rodriguez,customer189@example.com,Frisco,75033,2026-02-16,Google Search,1
C0190,Madison,Johnson,customer190@example.com,Carrollton,75007,2026-01-21,Pop-up Event,1
C0191,Logan,Johnson,customer191@example.com,Fort Worth,76102,2025-12-26,Vet Referral,1
C0192,Carlos,Rodriguez,customer192@example.com,Dallas,75214,2025-11-10,Pop-up Event,0
C0193,Ryan,Brown,customer193@example.com,Arlington,76012,2026-04-06,TikTok,1
C0194,Priya,Perez,customer194@example.com,Richardson,75082,2026-03-12,Friend Referral,0
C0195,Diego,Perez,customer195@example.com,Frisco,75034,2026-01-02,Friend Referral,1
C0196,Priya,Jackson,customer196@example.com,Irving,75063,2026-03-16,Instagram,1
C0197,Amanda,Garcia,customer197@example.com,Fort Worth,76109,2026-04-10,Instagram,1
C0198,Michael,Brown,customer198@example.com,Arlington,76016,2025-11-01,Instagram,1
C0199,Rachel,Jones,customer199@example.com,Addison,75001,2025-03-22,Friend Referral,1
C0200,Michael,Taylor,customer200@example.com,Dallas,75205,2026-03-31,Instagram,1
C0201,Michael,Martinez,customer201@example.com,Frisco,75034,2026-04-01,Instagram,1
C0202,Ashley,Park,customer202@example.com,Richardson,75080,2026-04-18,Instagram,1
C0203,Sophia,Anderson,customer203@example.com,Plano,75024,2026-03-24,Friend Referral,1
C0204,Amanda,Patel,customer204@example.com,Arlington,76012,2025-10-05,Instagram,1
C0205,Ava,Davis,customer205@example.com,Frisco,75033,2025-11-08,Instagram,1
C0206,Justin,Miller,customer206@example.com,Frisco,75033,2025-02-02,Instagram,1
C0207,Michael,Lee,customer207@example.com,Coppell,75019,2025-07-13,Vet Referral,1
C0208,Priya,Shah,customer208@example.com,Coppell,75019,2026-03-23,Friend Referral,1
C0209,Jessica,Taylor,customer209@example.com,Frisco,75034,2025-11-12,Friend Referral,1
C0210,Justin,Davis,customer210@example.com,Plano,75024,2025-08-30,Instagram,1
C0211,Emma,White,customer211@example.com,Coppell,75019,2025-09-22,Pop-up Event,1
C0212,Carlos,Patel,customer212@example.com,Allen,75013,2025-12-19,Instagram,1
C0213,Hannah,Thompson,customer213@example.com,Dallas,75214,2025-12-19,Instagram,1
C0214,Aisha,Chen,customer214@example.com,Dallas,75201,2026-02-08,Instagram,1
C0215,Carlos,Patel,customer215@example.com,Plano,75024,2026-03-23,Friend Referral,1
C0216,Chris,Nguyen,customer216@example.com,Arlington,76012,2025-04-01,Google Search,1
C0217,Connor,Jackson,customer217@example.com,Frisco,75033,2025-07-28,Friend Referral,1
C0218,Madison,Park,customer218@example.com,Carrollton,75007,2025-12-17,Google Search,1
C0219,Carlos,Jackson,customer219@example.com,Arlington,76012,2026-01-23,Instagram,1
C0220,Tyler,Garcia,customer220@example.com,Irving,75063,2026-02-12,Google Search,1
C0221,Maria,Taylor,customer221@example.com,Richardson,75082,2026-02-14,TikTok,1
C0222,Sophia,Kumar,customer222@example.com,Arlington,76012,2026-03-17,Instagram,1
C0223,Michael,Chen,customer223@example.com,Irving,75063,2026-03-15,Instagram,1
C0224,Ryan,Chen,customer224@example.com,Irving,75063,2026-03-05,Instagram,1
C0225,Brittany,Moore,customer225@example.com,Frisco,75034,2026-04-19,Friend Referral,1
C0226,Jason,Jackson,customer226@example.com,Irving,75063,2024-11-10,Instagram,1
C0227,Sarah,Wilson,customer227@example.com,Allen,75013,2024-11-10,Pop-up Event,1
C0228,Tyler,Khan,customer228@example.com,Dallas,75214,2026-03-12,Instagram,1
C0229,Ethan,Taylor,customer229@example.com,Arlington,76016,2025-01-12,Google Search,1
C0230,Wei,Tran,customer230@example.com,Arlington,76016,2026-03-06,Vet Referral,1
C0231,James,Martin,customer231@example.com,Dallas,75201,2026-02-23,Friend Referral,1
C0232,Rohit,Taylor,customer232@example.com,Richardson,75080,2026-03-16,Instagram,1
C0233,Logan,Patel,customer233@example.com,Irving,75038,2026-03-04,Google Search,1
C0234,Ethan,White,customer234@example.com,Arlington,76016,2026-01-06,Friend Referral,1
C0235,Ethan,Thompson,customer235@example.com,Fort Worth,76109,2026-02-20,Instagram,1
C0236,Diego,Jackson,customer236@example.com,Addison,75001,2024-11-10,Friend Referral,1
C0237,Amanda,Thomas,customer237@example.com,Irving,75038,2026-03-13,Google Search,1
C0238,Lauren,Perez,customer238@example.com,Plano,75024,2025-11-23,Friend Referral,1
C0239,Madison,Lopez,customer239@example.com,Plano,75024,2026-02-16,TikTok,1
C0240,Brandon,Park,customer240@example.com,Frisco,75034,2024-11-10,Instagram,1
C0241,Logan,Martin,customer241@example.com,Richardson,75082,2024-12-19,Instagram,1
C0242,Lauren,Martin,customer242@example.com,Plano,75024,2025-09-03,Google Search,1
C0243,Eric,Lopez,customer243@example.com,Richardson,75080,2026-04-07,Vet Referral,1
C0244,Sarah,Rodriguez,customer244@example.com,Irving,75038,2026-04-02,Instagram,1
C0245,Emma,Brown,customer245@example.com,Richardson,75082,2025-10-20,Friend Referral,1
C0246,Stephanie,Rodriguez,customer246@example.com,Allen,75013,2025-04-22,Friend Referral,1
C0247,Olivia,Smith,customer247@example.com,Arlington,76016,2026-01-20,Friend Referral,1
C0248,Stephanie,Park,customer248@example.com,Coppell,75019,2026-03-01,Vet Referral,1
C0249,Maria,Thompson,customer249@example.com,Arlington,76016,2026-03-18,Pop-up Event,1
C0250,David,Moore,customer250@example.com,Frisco,75033,2025-12-14,Pop-up Event,1
C0251,Daniel,Jones,customer251@example.com,Arlington,76016,2026-04-12,TikTok,1
C0252,Wei,Jones,customer252@example.com,Fort Worth,76102,2026-02-20,Instagram,1
C0253,David,Martinez,customer253@example.com,Coppell,75019,2025-11-11,Friend Referral,1
C0254,Sophia,Lee,customer254@example.com,Plano,75093,2025-07-29,Instagram,1
C0255,Tyler,Davis,customer255@example.com,Dallas,75214,2026-03-14,Vet Referral,1
C0256,Aisha,Thomas,customer256@example.com,Allen,75013,2025-12-04,Vet Referral,1
C0257,Priya,Tran,customer257@example.com,McKinney,75070,2026-02-18,Pop-up Event,1
C0258,Justin,Nguyen,customer258@example.com,Arlington,76012,2025-06-01,Instagram,1
C0259,Sophia,Brown,customer259@example.com,Irving,75038,2025-07-21,Instagram,1
C0260,Olivia,Anderson,customer260@example.com,Carrollton,75007,2025-09-16,Vet Referral,1
C0261,Amanda,Garcia,customer261@example.com,Frisco,75034,2025-10-03,Friend Referral,1
C0262,Tyler,Lopez,customer262@example.com,Frisco,75033,2026-02-17,Instagram,1
C0263,Jessica,Hernandez,customer263@example.com,Allen,75013,2025-11-28,Friend Referral,1
C0264,Aisha,Tran,customer264@example.com,Dallas,75201,2024-11-21,Instagram,1
C0265,Yuki,Martin,customer265@example.com,Carrollton,75007,2025-12-29,Google Search,1
C0266,Rachel,Martin,customer266@example.com,Dallas,75205,2025-04-29,TikTok,1
C0267,Diego,Jones,customer267@example.com,Irving,75038,2025-10-02,TikTok,1
C0268,Amanda,Wilson,customer268@example.com,Richardson,75080,2026-04-05,Google Search,1
C0269,Daniel,Thomas,customer269@example.com,Fort Worth,76109,2026-01-25,Vet Referral,0
C0270,Jason,Martinez,customer270@example.com,Plano,75093,2025-01-22,Friend Referral,1
C0271,David,Hernandez,customer271@example.com,Dallas,75214,2024-11-10,Pop-up Event,1
C0272,Ava,Martin,customer272@example.com,Irving,75038,2025-02-02,Pop-up Event,1
C0273,Daniel,Kim,customer273@example.com,Arlington,76012,2025-11-24,Friend Referral,1
C0274,Rohit,Jackson,customer274@example.com,Irving,75038,2026-02-20,Vet Referral,1
C0275,Madison,Chen,customer275@example.com,McKinney,75070,2026-02-20,Friend Referral,1
C0276,James,Williams,customer276@example.com,Arlington,76012,2025-02-04,Friend Referral,1
C0277,Nicole,Moore,customer277@example.com,Fort Worth,76109,2025-09-06,Friend Referral,1
C0278,James,Thomas,customer278@example.com,Dallas,75201,2026-01-16,Instagram,1
C0279,Logan,Johnson,customer279@example.com,Coppell,75019,2025-12-31,Friend Referral,1
C0280,Sophia,Williams,customer280@example.com,Richardson,75082,2026-02-12,Google Search,1
C0281,Yuki,Tran,customer281@example.com,Frisco,75033,2026-05-02,Google Search,1
C0282,Ryan,Nguyen,customer282@example.com,Richardson,75082,2024-11-10,Instagram,1
C0283,James,Park,customer283@example.com,Arlington,76016,2026-04-18,TikTok,1
C0284,Aisha,Thompson,customer284@example.com,Addison,75001,2025-11-23,Instagram,1
C0285,Olivia,Hernandez,customer285@example.com,Irving,75063,2026-03-23,Pop-up Event,1
C0286,Aisha,Chen,customer286@example.com,Irving,75063,2026-03-27,Instagram,1
C0287,Rohit,Williams,customer287@example.com,Irving,75038,2025-12-06,Instagram,1
C0288,James,Perez,customer288@example.com,Arlington,76012,2026-01-16,Friend Referral,1
C0289,Nicole,Davis,customer289@example.com,Richardson,75082,2026-02-01,Google Search,1
C0290,Hannah,Smith,customer290@example.com,Fort Worth,76102,2026-03-29,Pop-up Event,0
C0291,Diego,Khan,customer291@example.com,Allen,75013,2026-02-09,Instagram,1
C0292,Lauren,Patel,customer292@example.com,Dallas,75205,2026-01-30,Instagram,1
C0293,Wei,Tran,customer293@example.com,Carrollton,75007,2025-09-20,Google Search,1
C0294,Brandon,Jackson,customer294@example.com,Dallas,75205,2026-03-20,Instagram,1
C0295,Ashley,Martin,customer295@example.com,Allen,75013,2026-05-01,Instagram,1
C0296,Wei,Davis,customer296@example.com,Arlington,76012,2026-03-30,Google Search,1
C0297,Ava,Taylor,customer297@example.com,Dallas,75201,2026-04-16,Instagram,1
C0298,Justin,Smith,customer298@example.com,Frisco,75033,2025-05-21,Pop-up Event,1
C0299,Aisha,Garcia,customer299@example.com,Allen,75013,2025-10-18,Instagram,1
C0300,Daniel,Kim,customer300@example.com,Richardson,75080,2025-03-23,Instagram,1
C0301,Chris,Chen,customer301@example.com,Plano,75024,2026-03-24,Instagram,1
C0302,Hannah,Jackson,customer302@example.com,Irving,75038,2025-11-28,Friend Referral,1
C0303,Yuki,Park,customer303@example.com,Fort Worth,76109,2025-07-02,Friend Referral,1
C0304,Diego,Martinez,customer304@example.com,Richardson,75080,2026-02-08,Google Search,1
C0305,Lauren,Wang,customer305@example.com,Fort Worth,76102,2025-11-09,Friend Referral,1
C0306,Jessica,Jackson,customer306@example.com,Plano,75093,2026-01-21,Instagram,0
C0307,Andrew,Wang,customer307@example.com,Fort Worth,76109,2025-08-18,Instagram,1
C0308,Sarah,Martin,customer308@example.com,Richardson,75082,2026-01-04,Pop-up Event,1
C0309,Logan,Chen,customer309@example.com,Irving,75038,2026-01-25,Instagram,1
C0310,Maria,Park,customer310@example.com,Plano,75093,2025-12-15,Google Search,1
C0311,Andrew,Kumar,customer311@example.com,Addison,75001,2026-04-07,Pop-up Event,0
C0312,Nicole,Wilson,customer312@example.com,Arlington,76012,2025-12-21,Instagram,1
C0313,Sophia,Kumar,customer313@example.com,Richardson,75080,2026-05-01,Pop-up Event,1
C0314,Aisha,Williams,customer314@example.com,Richardson,75080,2025-12-01,Instagram,1
C0315,Yuki,Kumar,customer315@example.com,Irving,75063,2025-10-27,Pop-up Event,1
C0316,Chris,Chen,customer316@example.com,Fort Worth,76102,2026-05-03,Instagram,1
C0317,Ashley,Wang,customer317@example.com,Dallas,75205,2025-04-27,Google Search,1
